product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Крольчатина,9854.0,251,Мясо,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2006-07-01,2006-10-14,1.84,Awaiting Review
2,Фета,4473.0,521,Молочные продукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-07-06,2025-01-04,2.42,Shipping
3,Пакеты для школы,7229.0,500,Товары для дома,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2015-02-10,2020-01-13,0.9,On Backorder
4,Щавель,4076.0,645,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2000-01-09,2015-02-01,0.79,Out of Stock
5,Сало,5443.0,933,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2022-05-10,2030-10-04,1.89,Backorder
6,Простыни,5253.0,102,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1990-02-08,2028-01-05,3.56,In Stock
7,Авокадо,324.0,271,Фрукты,Отличается низким содержанием насыщенных жиров и холестерина.,2011-02-19,2018-01-13,3.5,New
8,Пакеты для Рождества,7180.0,33,Товары для дома,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2011-01-13,2015-05-25,1.99,On Backorder
9,Капуста белокочанная,7119.0,837,Овощи,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2003-07-01,2023-02-04,3.73,Pending
10,Простыни,1146.0,809,Товары для дома,Используется в косметологии для ухода за кожей и волосами.,1999-06-02,2026-07-03,2.35,Out of Stock
11,Пакеты для тренинга,2140.0,293,Товары для дома,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1999-07-09,2004-06-14,2.38,Awaiting Review
12,Пакеты для музея,6165.0,391,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,1997-06-13,2021-03-03,0.22,New
13,Виноград,6692.0,216,Фрукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1996-01-18,2000-01-01,4.02,Awaiting Payment
14,Пакеты для Дня космонавтики,5950.0,494,Товары для дома,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2013-01-03,2015-03-06,4.64,On Backorder
