product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Адлеркурортная,4754,769,Напитки,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1993-05-17,2013-05-10,4.65,Pending
2,Коктебельская,5485,436,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2022-08-15,2023-04-08,4.2,Cancelled
3,Айран,2465,601,Молочные продукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",1998-02-15,2029-01-05,3.28,Sold
4,Сметана,6058,11,Молочные продукты,Является важным элементом спортивного питания для восстановления после тренировок.,2011-05-03,2026-05-04,1.1,Cancelled
5,Брокколи,5432,384,Овощи,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2016-04-03,2019-05-04,4.43,Delivered
6,Кольраби,5113,775,Овощи,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",1991-10-01,2022-02-02,4.02,Refunded
7,Пледы,9400,113,Товары для дома,Широко используется в традиционной и современной кухне.,1990-04-16,2008-11-12,4.13,Temporarily Unavailable
8,Подставки под горячие блюда,974,317,Товары для дома,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1990-04-15,2013-02-14,2.55,Out of Stock
9,Ленинградская,1099,880,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1996-02-07,2003-04-08,2.12,New
10,Каша из дробленого кускуса,5008,99,Бакалея,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1999-04-08,2030-01-01,0.14,Delivered
11,Хлебопечка,8923,23,Товары для дома,"Подходит для использования в диетах, направленных на снижение веса.",2015-03-21,2015-08-14,3.58,Awaiting Payment
12,Свинина,2504,273,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2020-01-12,2023-05-01,1.53,On Backorder
13,Яблоко,6924,735,Фрукты,Широко используется в традиционной и современной кухне.,2016-01-05,2024-12-02,2.82,Sold
14,Боржоми,4235,377,Напитки,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2010-02-04,2025-08-05,3.81,Refunded
15,Окра,1292,949,Овощи,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1994-02-17,2000-10-06,0.53,Temporarily Unavailable
16,Манго,3586,723,Фрукты,Подходит для использования в рецептах традиционной кухни разных стран.,2018-01-13,2027-02-10,0.13,Cancelled
17,Окорок,8847,100,Мясо,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2006-01-04,2016-01-12,4.86,Awaiting Payment
18,Сливки,4675,319,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1990-06-01,2005-07-06,1.38,Shipping
19,Буковинская,3555,178,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2007-05-09,2011-01-02,0.81,Awaiting Payment
20,Бифштекс,9780,650,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2004-01-24,2011-02-14,3.69,On Backorder
21,Творог,1142,363,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2014-04-05,2014-04-11,2.93,Temporarily Unavailable
22,Чай черный,2346,401,Бакалея,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2003-05-19,2025-03-25,1.14,Cancelled
23,Шалфей сушеный,9247,6,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1991-03-14,2030-05-12,0.95,Out of Stock
24,Coca-Cola Zero,5362,502,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1995-09-04,2013-03-01,3.34,Cancelled
25,Пажитник сушеный,3353,779,Бакалея,Помогает укрепить иммунную систему и защитить организм от инфекций.,2018-07-01,2021-04-18,3.13,Backorder
26,Бумажные полотенца,9058,799,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2014-04-09,2016-02-08,4.12,Sold
27,Курортная,8873,382,Напитки,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1991-04-01,1998-01-03,4.43,Awaiting Review
28,Адлеркурортная,9662,892,Напитки,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1999-02-03,2022-06-03,4.45,Delivered
29,Куриные бедра,859,444,Мясо,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2005-01-02,2018-02-02,3.49,Returned
30,Щавель,6826,923,Овощи,Может использоваться в детском питании начиная с раннего возраста.,1995-10-07,2003-01-02,2.12,Cancelled
31,Репа,7574,926,Овощи,Часто рекомендуется врачами-диетологами как часть здорового питания.,2016-04-05,2026-01-10,2.05,Sold
32,Карбонад,1590,579,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2005-05-03,2028-03-05,1.15,Pending
33,Фета,8749,99,Молочные продукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2019-07-01,2030-04-02,1.97,Sold
34,Айва,7500,571,Фрукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2001-04-02,2002-01-02,1.38,Sold
35,Лук-порей,9942,830,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2001-07-11,2005-01-09,1.13,Cancelled
36,Портулак,4374,158,Овощи,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1993-04-01,2024-02-05,3.79,On Backorder
